2025-09-29 19:44:54.870 | ERROR    | runner.paper:start:112 | Failed to start paper trading engine: 'MockBinanceClient' object has no attribute 'initialize'
2025-09-29 23:12:19.807 | ERROR    | runner.paper:start:112 | Failed to start paper trading engine: object NoneType can't be used in 'await' expression
2025-09-29 23:12:19.809 | ERROR    | runner.paper:run_paper_trading:722 | Paper trading session failed: object NoneType can't be used in 'await' expression
2025-09-29 23:22:50.970 | ERROR    | runner.paper:_initialize_components:177 | PositionManager <class 'exchange.positions.PositionManager'> does not have initialize method!
2025-09-29 23:22:50.971 | ERROR    | runner.paper:_initialize_components:178 | Available methods: ['client', 'config']
2025-09-29 23:22:50.971 | ERROR    | runner.paper:start:112 | Failed to start paper trading engine: 'PositionManager' object has no attribute 'initialize'
2025-09-29 23:22:50.971 | ERROR    | runner.paper:run_paper_trading:722 | Paper trading session failed: 'PositionManager' object has no attribute 'initialize'
2025-09-29 23:23:03.545 | ERROR    | runner.live:start:106 | Failed to start live trading engine: 'PositionManager' object has no attribute 'get_position'
2025-09-29 23:23:03.546 | ERROR    | runner.live:run_live_trading:614 | Live trading session failed: 'PositionManager' object has no attribute 'get_position'
2025-09-29 23:32:19.086 | ERROR    | runner.live:start:106 | Failed to start live trading engine: 'PositionManager' object has no attribute 'get_position'
2025-09-29 23:32:19.087 | ERROR    | runner.live:run_live_trading:614 | Live trading session failed: 'PositionManager' object has no attribute 'get_position'
2025-09-29 23:44:06.443 | ERROR    | runner.live:start:106 | Failed to start live trading engine: 'PositionManager' object has no attribute 'get_position'
2025-09-29 23:44:06.443 | ERROR    | runner.live:run_live_trading:614 | Live trading session failed: 'PositionManager' object has no attribute 'get_position'
2025-09-30 00:44:32.679 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 00:44:37.699 | ERROR    | runner.live:start:106 | Failed to start live trading engine: 'MetricsCollector' object has no attribute 'consecutive_errors'
2025-09-30 00:44:37.701 | ERROR    | runner.live:stop:138 | Error during shutdown: 'Config' object has no attribute 'close_positions_on_exit'
2025-09-30 00:44:37.701 | ERROR    | runner.live:run_live_trading:614 | Live trading session failed: 'MetricsCollector' object has no attribute 'consecutive_errors'
2025-09-30 12:07:17.302 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:07:22.323 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:07:27.323 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:07:32.333 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:07:37.347 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:07:42.358 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:07:47.368 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:07:52.374 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:07:57.388 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:08:02.394 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:08:07.404 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:08:12.407 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:08:17.414 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:08:22.416 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:08:27.423 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:08:32.437 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:08:37.450 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:08:42.462 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:08:47.467 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:08:52.468 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:08:57.469 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:09:02.481 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:09:07.484 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:09:12.489 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:09:17.496 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:09:22.506 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:09:27.521 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:09:32.536 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:09:37.550 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:09:42.561 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:09:47.573 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:09:53.393 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:09:58.408 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:10:03.417 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:10:08.428 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:10:13.430 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:10:18.436 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:10:24.414 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:10:29.430 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:10:34.440 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:10:39.441 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:10:44.447 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:10:49.458 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:10:55.423 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:11:00.432 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:11:05.446 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:11:10.460 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:11:15.469 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:11:20.471 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:11:26.438 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:11:31.443 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:11:36.447 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:11:41.452 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:11:46.464 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:11:51.477 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:11:57.451 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:12:02.461 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:12:07.474 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:12:12.488 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:12:18.497 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:12:23.511 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:12:28.516 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:12:28.722 | ERROR    | runner.live:stop:138 | Error during shutdown: 'Config' object has no attribute 'close_positions_on_exit'
2025-09-30 12:16:32.788 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:16:37.798 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:16:42.811 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:16:47.827 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:16:52.835 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:16:57.841 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:17:02.851 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:17:07.852 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:17:12.862 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:17:17.872 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:17:22.873 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:17:27.875 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:17:32.885 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:17:37.888 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:17:42.889 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:17:47.892 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:17:52.897 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:17:57.902 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:18:02.907 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:18:07.925 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:18:12.935 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:18:17.942 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:18:22.943 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:18:27.944 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:18:32.946 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:18:37.942 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:18:42.943 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:18:47.949 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:18:52.950 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:18:57.952 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:19:02.953 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:19:08.843 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:19:13.844 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:19:18.854 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:19:23.855 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:19:28.856 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:19:33.858 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:19:39.850 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:19:44.851 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:19:49.853 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:19:54.853 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:19:59.855 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:20:04.856 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:20:10.847 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:20:15.847 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:20:20.849 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:20:25.851 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:20:30.853 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:20:35.853 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:20:41.843 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:20:46.845 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:20:51.846 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:20:56.847 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:21:01.848 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:21:06.849 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:21:12.860 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:21:17.861 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:21:22.865 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:21:27.868 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:21:34.364 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:21:39.367 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:21:44.376 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:21:49.377 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:21:54.379 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:21:59.381 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:22:04.389 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:22:09.392 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:22:14.877 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:22:19.887 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:22:24.893 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:22:29.903 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:22:34.912 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:22:39.928 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:22:45.892 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:22:50.907 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:22:55.922 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:23:00.933 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:23:05.935 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:23:10.947 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:23:16.887 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:23:21.891 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:23:26.894 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:23:31.896 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:23:36.902 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:23:41.916 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
2025-09-30 12:23:47.895 | ERROR    | runner.live:_run_trading_loop:237 | Error in trading loop: 'Config' object has no attribute 'max_daily_loss'
